,agent,model,omega,beta,ll,group,ntrials,exp,prolificID
243,61363ce02e6022a741d63a6e,map,0.16293261349201205,1.1485064029693604,91.59955310333255,value,288,FullPilot12,61363ce02e6022a741d63a6e
244,61363ce02e6022a741d63a6e,value,0.9357265442609787,14.868751764297485,92.0218702749551,value,288,FullPilot12,61363ce02e6022a741d63a6e
245,61363ce02e6022a741d63a6e,perceptual,0.0006216049194336382,273.357195854187,99.41782808356977,value,288,FullPilot12,61363ce02e6022a741d63a6e
246,632fc453431e3369da22be81,map,0.9999998092651367,0.3814697265625,97.16018785892922,perceptual,287,FullPilot12,632fc453431e3369da22be81
247,632fc453431e3369da22be81,value,0.99998779296875,0.0,99.81319397183192,perceptual,287,FullPilot12,632fc453431e3369da22be81
248,632fc453431e3369da22be81,perceptual,0.0255674630403519,14.919193983078003,97.16018776301621,perceptual,287,FullPilot12,632fc453431e3369da22be81
249,5d773df22fa4bf001a045aa9,map,0.6238885521888733,1.4227652549743652,87.2331024441905,combined,287,FullPilot12,5d773df22fa4bf001a045aa9
250,5d773df22fa4bf001a045aa9,value,0.9959455464035272,127.56527334451675,97.36807133817585,combined,287,FullPilot12,5d773df22fa4bf001a045aa9
251,5d773df22fa4bf001a045aa9,perceptual,0.03772964477539065,23.204421997070312,89.49226332895125,combined,287,FullPilot12,5d773df22fa4bf001a045aa9
252,5a9416ba6475f900019fa690,map,0.9934355025179684,4.550505615770817,39.310925278552226,perceptual,288,FullPilot12,5a9416ba6475f900019fa690
253,5a9416ba6475f900019fa690,value,0.99998779296875,0.0,99.81319397183192,perceptual,288,FullPilot12,5a9416ba6475f900019fa690
254,5a9416ba6475f900019fa690,perceptual,0.3182372093200684,14.190216064453125,39.31357061374141,perceptual,288,FullPilot12,5a9416ba6475f900019fa690
255,5fd7782dee03dc08d3f3f491,map,0.187669849395752,11.755341291427612,22.47640980141092,combined,288,FullPilot13,5fd7782dee03dc08d3f3f491
256,5fd7782dee03dc08d3f3f491,value,0.3076797676738352,9.369093999266624,33.79399275283591,combined,288,FullPilot13,5fd7782dee03dc08d3f3f491
257,5fd7782dee03dc08d3f3f491,perceptual,0.05052313804626468,7.6470184326171875,97.65250934095224,combined,288,FullPilot13,5fd7782dee03dc08d3f3f491
258,5484a2b2fdf99b07b28f2335,map,0.7016866683959961,3.2500457763671875,55.11163527721362,perceptual,288,FullPilot13,5484a2b2fdf99b07b28f2335
259,5484a2b2fdf99b07b28f2335,value,0.9986418970511295,272.26671083830297,98.71419216577229,perceptual,288,FullPilot13,5484a2b2fdf99b07b28f2335
260,5484a2b2fdf99b07b28f2335,perceptual,0.21244497569277887,9.707034844905138,58.729718744569546,perceptual,288,FullPilot13,5484a2b2fdf99b07b28f2335
261,58e558cc728bea0001bbda24,map,0.9622141763567924,4.867159724235535,39.44515157334355,perceptual,287,FullPilot13,58e558cc728bea0001bbda24
262,58e558cc728bea0001bbda24,value,0.9989890669938176,178.46537804231048,99.49844970175648,perceptual,287,FullPilot13,58e558cc728bea0001bbda24
263,58e558cc728bea0001bbda24,perceptual,0.2535323148593307,18.514338806271553,39.55843176217073,perceptual,287,FullPilot13,58e558cc728bea0001bbda24
264,66f3ce30fcb5b781b42e3ec4,map,0.7207046052906663,0.34238606691360474,98.957319502969,random,288,FullPilot13,66f3ce30fcb5b781b42e3ec4
265,66f3ce30fcb5b781b42e3ec4,value,0.9997176539211068,331.74200906418264,99.74793021099929,random,288,FullPilot13,66f3ce30fcb5b781b42e3ec4
266,66f3ce30fcb5b781b42e3ec4,perceptual,0.0019926697015762995,123.51670622825623,99.0231632738746,random,288,FullPilot13,66f3ce30fcb5b781b42e3ec4
267,66f636a15a0ec8d9ef572bae,map,0.99998779296875,0.9716796875,83.32461417578308,perceptual,316,FullPilot13,66f636a15a0ec8d9ef572bae
268,66f636a15a0ec8d9ef572bae,value,0.99998779296875,0.0,97.73375243075209,perceptual,316,FullPilot13,66f636a15a0ec8d9ef572bae
269,66f636a15a0ec8d9ef572bae,perceptual,0.027900716662406955,34.886683225631714,83.32454757567378,perceptual,316,FullPilot13,66f636a15a0ec8d9ef572bae
270,5de7ccc24b7cf973d7b05bfb,map,0.1824087550863624,1.9460420310497284,80.08248762151571,value,288,FullPilot13,5de7ccc24b7cf973d7b05bfb
271,5de7ccc24b7cf973d7b05bfb,value,0.8443108797073364,9.90236759185791,81.07027121141395,value,288,FullPilot13,5de7ccc24b7cf973d7b05bfb
272,5de7ccc24b7cf973d7b05bfb,perceptual,0.0009095937013626765,204.15724754333496,99.44096508174385,value,288,FullPilot13,5de7ccc24b7cf973d7b05bfb
273,58c1ce3c3783090001b49355,map,0.23072509765625004,1.9293212890625,85.91974436721767,combined,324,FullPilot13,58c1ce3c3783090001b49355
274,58c1ce3c3783090001b49355,value,0.8048019140958786,7.572250515222549,88.50788440089966,combined,324,FullPilot13,58c1ce3c3783090001b49355
