agent,model,original_model,ll,fitted_rl_temp,fitted_perceptual_temp,rl_temp,perceptual_temp
50,NormativeLogRatio,value neglect,9.429112660092674,2.428142646907862,8.241580349298928,1.0,10.0
51,NormativeLogRatio,perceptual neglect,11.32569371482978,5.812536581626923,1.2186934045406013,10.0,1.0
52,NormativeLogRatio,random,31.686437387399195,0.0,0.663052337702984,,
53,NormativeLogRatio,balanced,17.794888127409504,5.09282320593798,4.277753192160307,5.0,5.0
54,NormativeLogRatio,value neglect,9.451621551646507,0.8419707194188454,7.125821556701305,1.0,10.0
55,NormativeLogRatio,perceptual neglect,4.388000275132825,9.824737783027624,0.0,10.0,1.0
56,NormativeLogRatio,random,33.53547246984809,0.0,0.20577083405863933,,
57,NormativeLogRatio,balanced,72.03168344228082,28.537507518672573,28.603721374273402,5.0,5.0
58,NormativeLogRatio,value neglect,6.964747423955945,0.8630458525524195,16.7664402536115,1.0,10.0
59,NormativeLogRatio,perceptual neglect,2.8005318405486754,30.0,1.5757531290774862,10.0,1.0
60,NormativeLogRatio,random,33.69234096876164,0.26371382082747985,0.0,,
61,NormativeLogRatio,balanced,12.267035246855166,4.574959270607592,3.5858214651077946,5.0,5.0
62,NormativeLogRatio,value neglect,10.156618629146626,0.5602648366116535,4.661800227237598,1.0,10.0
63,NormativeLogRatio,perceptual neglect,10.431507035494377,7.797486825140474,2.026619966078271,10.0,1.0
64,NormativeLogRatio,random,31.660621064656784,0.0,0.5688140190781835,,
65,NormativeLogRatio,balanced,20.842364175899355,2.391571279525216,2.1538412623170466,5.0,5.0
66,NormativeLogRatio,value neglect,15.393504979159145,0.840528425606788,5.89061022324982,1.0,10.0
67,NormativeLogRatio,perceptual neglect,16.247996597767152,5.376349791722877,0.6058112964450174,10.0,1.0
68,NormativeLogRatio,random,33.95748719970449,0.0,0.02883921648962012,,
69,NormativeLogRatio,balanced,13.419422901588906,5.061124901528774,3.137002591316179,5.0,5.0
70,NormativeLogRatio,value neglect,9.697154836983435,0.0,7.180384661283423,1.0,10.0
71,NormativeLogRatio,perceptual neglect,4.917001756197397,7.768088756463404,1.2127150590854308,10.0,1.0
72,NormativeLogRatio,random,33.964211847437284,0.0,0.0,,
73,NormativeLogRatio,balanced,9.280511220240452,5.7981089829563395,7.126339862439541,5.0,5.0
74,NormativeLogRatio,value neglect,7.471992234852616,1.4893488927489849,5.714582923296873,1.0,10.0
75,NormativeLogRatio,perceptual neglect,20.341087304578256,5.625005611857863,0.6099214111147567,10.0,1.0
76,NormativeLogRatio,random,33.955147811900176,0.0429530126218094,0.0,,
77,NormativeLogRatio,balanced,10.523213176344774,6.755158504884331,5.507652823064082,5.0,5.0
78,NormativeLogRatio,value neglect,17.747473812012416,0.15844649806744432,7.906602034593547,1.0,10.0
79,NormativeLogRatio,perceptual neglect,20.017830993155957,4.301689924829697,0.28614451545885256,10.0,1.0
80,NormativeLogRatio,random,32.757532716628916,0.0,0.6702232945793816,,
81,NormativeLogRatio,balanced,13.79876091739498,3.905836838063815,3.8749434022483187,5.0,5.0
82,NormativeLogRatio,value neglect,1.3391812811341195,3.5883248641920757,30.0,1.0,10.0
83,NormativeLogRatio,perceptual neglect,9.859715021835907,11.707393163614839,0.0,10.0,1.0
84,NormativeLogRatio,random,33.81844715904319,0.0,0.17518895688396507,,
