"prolificID","expName","session","t","pair","choice","outcome1","outcome2","choseLeft","op1IsLeft","moveTime","fireTime","leftCount","rightCount","ev1","ev2","p1","p2","m1","m2","name1","name2","destroyed","score","datetime"
"6543f7e306c0fc611aafc81d",,"2","8","7","2","5","5","1","0","1132","1266","1","0","1","4","0.29","0.88","0","0",,,"1","30","2024-02-07 15:44:35"
"6543f7e306c0fc611aafc81d",,"2","9","3","2","5","5","0","1","765","966","0","1","1","1","0.12","0.22","0","0",,,"0","30","2024-02-07 15:44:37"
"6543f7e306c0fc611aafc81d",,"2","10","9","2","5","5","1","0","533","699","1","0","2","4","0.37","0.84","0","0",,,"1","35","2024-02-07 15:44:40"
"6543f7e306c0fc611aafc81d",,"2","11","0","2","5","5","1","0","499","632","1","0","1","4","0.12","0.88","0","0",,,"1","40","2024-02-07 15:44:42"
"6543f7e306c0fc611aafc81d",,"2","12","9","2","5","5","1","0","448","632","1","0","2","4","0.37","0.84","0","0",,,"1","45","2024-02-07 15:44:44"
"6543f7e306c0fc611aafc81d",,"2","13","15","2","5","5","1","0","682","949","1","0","4","4","0.78","0.88","0","0",,,"1","50","2024-02-07 15:44:46"
"6543f7e306c0fc611aafc81d",,"2","14","5","2","5","5","1","0","466","599","1","0","1","3","0.16","0.63","0","0",,,"1","55","2024-02-07 15:44:49"
"6543f7e306c0fc611aafc81d",,"2","15","1","2","5","5","1","0","549","699","1","0","1","4","0.12","0.71","0","0",,,"1","60","2024-02-07 15:44:51"
"6543f7e306c0fc611aafc81d",,"2","16","7","2","5","5","1","0","582","765","1","0","1","4","0.29","0.88","0","0",,,"1","65","2024-02-07 15:44:53"
"6543f7e306c0fc611aafc81d",,"2","17","8","2","5","5","1","0","549","883","1","0","1","4","0.29","0.71","0","0",,,"1","70","2024-02-07 15:44:56"
"6543f7e306c0fc611aafc81d",,"2","18","15","2","5","5","0","1","648","899","0","1","4","4","0.78","0.88","0","0",,,"1","75","2024-02-07 15:44:58"
"6543f7e306c0fc611aafc81d",,"2","19","12","2","5","5","0","1","566","766","0","1","3","4","0.55","0.88","0","0",,,"1","80","2024-02-07 15:45:01"
"6543f7e306c0fc611aafc81d",,"2","20","3","2","5","5","0","1","849","1015","0","1","1","1","0.12","0.22","0","0",,,"0","80","2024-02-07 15:45:03"
"6543f7e306c0fc611aafc81d",,"2","21","5","2","5","5","1","0","499","666","1","0","1","3","0.16","0.63","0","0",,,"1","85","2024-02-07 15:45:06"
"6543f7e306c0fc611aafc81d",,"2","22","1","2","5","5","0","1","582","716","0","1","1","4","0.12","0.71","0","0",,,"1","90","2024-02-07 15:45:08"
"6543f7e306c0fc611aafc81d",,"2","23","5","2","5","5","1","0","732","866","1","0","1","3","0.16","0.63","0","0",,,"0","90","2024-02-07 15:45:10"
"6543f7e306c0fc611aafc81d",,"2","24","8","2","5","5","1","0","432","599","1","0","1","4","0.29","0.71","0","0",,,"0","90","2024-02-07 15:45:13"
"6543f7e306c0fc611aafc81d",,"2","25","15","2","5","5","1","0","782","932","1","0","4","4","0.78","0.88","0","0",,,"0","90","2024-02-07 15:45:15"
