agent,expName,model,0
6699628702676370f9e96d92,FullPilot13,single,3
669ede47eb98d478aff45414,FullPilot12,independent,3
669ede47eb98d478aff45414,FullPilot12,log-ratio,3
669ede47eb98d478aff45414,FullPilot12,single,3
669f45c902420af78b04a9b1,FullPilot12,independent,3
669f45c902420af78b04a9b1,FullPilot12,log-ratio,3
669f45c902420af78b04a9b1,FullPilot12,single,3
66a557d079b15419fd0f9255,FullPilot14,independent,3
66a557d079b15419fd0f9255,FullPilot14,log-ratio,3
66a557d079b15419fd0f9255,FullPilot14,single,3
66abc79f0812c1f89a25adfb,FullPilot13,independent,3
66abc79f0812c1f89a25adfb,FullPilot13,log-ratio,3
66abc79f0812c1f89a25adfb,FullPilot13,single,3
66acee53fddf185342f15a88,FullPilot12,independent,3
66acee53fddf185342f15a88,FullPilot12,log-ratio,3
66acee53fddf185342f15a88,FullPilot12,single,3
66ad3db205eb0c54c153a291,FullPilot13,independent,3
66ad3db205eb0c54c153a291,FullPilot13,log-ratio,3
66ad3db205eb0c54c153a291,FullPilot13,single,3
66ae3fb9006e6fc44a2b56df,FullPilot13,independent,3
66ae3fb9006e6fc44a2b56df,FullPilot13,log-ratio,3
66ae3fb9006e6fc44a2b56df,FullPilot13,single,3
66b0c677fd6d5746c4c5fd36,FullPilot14,independent,3
66b0c677fd6d5746c4c5fd36,FullPilot14,log-ratio,3
66b0c677fd6d5746c4c5fd36,FullPilot14,single,3
66b104dedef80475efe58141,FullPilot12,independent,3
66b104dedef80475efe58141,FullPilot12,log-ratio,3
66b104dedef80475efe58141,FullPilot12,single,3
66b274c9c39e8e5057bcfaf6,FullPilot13,independent,3
66b274c9c39e8e5057bcfaf6,FullPilot13,log-ratio,3
66b274c9c39e8e5057bcfaf6,FullPilot13,single,3
66ba4608bc582e7db54007e5,FullPilot13,independent,3
66ba4608bc582e7db54007e5,FullPilot13,log-ratio,3
66ba4608bc582e7db54007e5,FullPilot13,single,3
66bb5ad727c62d0960db333c,FullPilot12,independent,3
66bb5ad727c62d0960db333c,FullPilot12,log-ratio,3
66bb5ad727c62d0960db333c,FullPilot12,single,3
66c34ed9630786ec5aece5bb,FullPilot13,independent,3
66c34ed9630786ec5aece5bb,FullPilot13,log-ratio,3
66c34ed9630786ec5aece5bb,FullPilot13,single,3
66c6952ac1f2b09e6c930cf8,FullPilot14,independent,3
66c6952ac1f2b09e6c930cf8,FullPilot14,log-ratio,3
66c6952ac1f2b09e6c930cf8,FullPilot14,single,3
66c7abc47de7196e9cac1014,FullPilot13,independent,3
66c7abc47de7196e9cac1014,FullPilot13,log-ratio,3
66c7abc47de7196e9cac1014,FullPilot13,single,3
66c7f746e43985cfcb2c99e6,FullPilot12,independent,3
66c7f746e43985cfcb2c99e6,FullPilot12,log-ratio,3
66c7f746e43985cfcb2c99e6,FullPilot12,single,3
66cbc2627559d53c0e3e4ac4,FullPilot12,independent,3
66cbc2627559d53c0e3e4ac4,FullPilot12,log-ratio,3
66cbc2627559d53c0e3e4ac4,FullPilot12,single,3
66d5df2e288343b20df362d4,FullPilot13,independent,3
66d5df2e288343b20df362d4,FullPilot13,log-ratio,3
66d5df2e288343b20df362d4,FullPilot13,single,3
66d9b86591a5610c3492d5d9,FullPilot12,independent,3
66d9b86591a5610c3492d5d9,FullPilot12,log-ratio,3
66d9b86591a5610c3492d5d9,FullPilot12,single,3
66d9e6817a3bfbc48269c66d,FullPilot13,independent,3
66d9e6817a3bfbc48269c66d,FullPilot13,log-ratio,3
66d9e6817a3bfbc48269c66d,FullPilot13,single,3
66e45c30d5be0907ea25a45b,FullPilot13,independent,3
66e45c30d5be0907ea25a45b,FullPilot13,log-ratio,3
66e45c30d5be0907ea25a45b,FullPilot13,single,3
66e58e209ba96e130b779a3a,FullPilot13,independent,3
66e58e209ba96e130b779a3a,FullPilot13,log-ratio,3
66e58e209ba96e130b779a3a,FullPilot13,single,3
66e74251d30f3f96be79e2f0,FullPilot12,independent,3
66e74251d30f3f96be79e2f0,FullPilot12,log-ratio,3
66e74251d30f3f96be79e2f0,FullPilot12,single,3
66e7d7caa4a0195186f6692f,FullPilot13,independent,3
66e7d7caa4a0195186f6692f,FullPilot13,log-ratio,3
66e7d7caa4a0195186f6692f,FullPilot13,single,3
66ee262c64a810b7ec1371e9,FullPilot12,independent,3
66ee262c64a810b7ec1371e9,FullPilot12,log-ratio,3
66ee262c64a810b7ec1371e9,FullPilot12,single,3
66eeda2bc7d6e9b92b4a81c0,FullPilot12,independent,3
66eeda2bc7d6e9b92b4a81c0,FullPilot12,log-ratio,3
66eeda2bc7d6e9b92b4a81c0,FullPilot12,single,3
66eefcfef4a122e447c654d1,FullPilot12,independent,3
66eefcfef4a122e447c654d1,FullPilot12,log-ratio,3
66eefcfef4a122e447c654d1,FullPilot12,single,3
66f09b3690fe3df51613a689,FullPilot12,independent,3
66f09b3690fe3df51613a689,FullPilot12,log-ratio,3
66f09b3690fe3df51613a689,FullPilot12,single,3
66f2f743ac55ce843124f2bf,FullPilot13,independent,3
66f2f743ac55ce843124f2bf,FullPilot13,log-ratio,3
66f2f743ac55ce843124f2bf,FullPilot13,single,3
66f3ce30fcb5b781b42e3ec4,FullPilot13,independent,3
66f3ce30fcb5b781b42e3ec4,FullPilot13,log-ratio,3
66f3ce30fcb5b781b42e3ec4,FullPilot13,single,3
66f3fed9e931683984276fee,FullPilot13,independent,3
66f3fed9e931683984276fee,FullPilot13,log-ratio,3
66f3fed9e931683984276fee,FullPilot13,single,3
66f636a15a0ec8d9ef572bae,FullPilot13,independent,3
66f636a15a0ec8d9ef572bae,FullPilot13,log-ratio,3
66f636a15a0ec8d9ef572bae,FullPilot13,single,3
66f6c4195f17d26ce8c8018d,FullPilot12,independent,3
66f6c4195f17d26ce8c8018d,FullPilot12,log-ratio,3
66f6c4195f17d26ce8c8018d,FullPilot12,single,3
